gesture,rep,t_ms,gx,gy,gz
left,2,401,-98.125,218.125,-241.250
left,2,411,-89.063,191.625,-234.562
left,2,421,-86.563,164.000,-232.937
left,2,431,-92.750,142.000,-239.375
left,2,441,-97.875,138.937,-252.437
left,2,451,-96.438,144.062,-270.500
left,2,461,-88.125,147.437,-273.000
left,2,471,-83.938,143.687,-260.562
left,2,481,-83.313,141.250,-238.000
left,2,491,-84.063,140.375,-230.375
left,2,501,-84.125,135.250,-230.687
left,2,511,-80.500,128.125,-231.562
left,2,521,-75.188,112.250,-242.000
left,2,531,-63.688,76.625,-261.625
left,2,541,-34.875,9.500,-266.062
left,2,551,-12.125,-46.875,-232.000
left,2,561,-3.188,-88.688,-173.875
left,2,571,-10.875,-103.313,-98.438
left,2,581,-25.437,-85.375,-46.250
left,2,591,-46.188,-43.688,9.313
left,2,601,-53.188,-10.750,40.688
left,2,611,-46.188,13.750,57.063
left,2,621,-23.062,30.375,63.000
left,2,631,0.625,33.250,64.250
left,2,641,25.875,27.687,65.563
left,2,651,54.000,11.500,67.813
left,2,661,67.813,-4.250,71.875
left,2,671,71.813,-16.625,78.188
left,2,681,65.813,-22.062,86.500
left,2,691,55.875,-19.812,93.875
left,2,701,45.250,-16.937,105.313
left,2,711,37.625,-18.187,115.750
left,2,721,39.688,-23.750,127.063
left,2,731,51.813,-33.500,140.875
left,2,741,64.750,-40.625,151.437
left,2,751,77.500,-46.063,162.312
left,2,761,92.063,-51.375,174.750
left,2,771,100.688,-56.063,179.187
left,2,781,105.125,-62.500,178.937
left,2,791,107.438,-71.875,178.750
left,2,801,108.750,-77.500,181.875
left,2,811,111.125,-78.250,184.875
left,2,821,120.063,-69.875,183.125
left,2,831,130.812,-59.688,181.000
left,2,841,137.125,-49.688,186.937
left,2,851,132.250,-43.000,199.937
left,2,861,120.250,-33.563,217.562
left,2,871,98.188,-17.312,241.000
left,2,881,76.750,-4.125,256.000
left,2,891,55.125,6.250,264.562
left,2,901,34.625,11.813,267.125
left,2,911,25.687,8.063,265.937
left,2,921,21.250,-2.500,264.500
left,2,931,19.812,-21.187,263.125
left,2,941,25.000,-38.375,261.750
left,2,951,29.750,-54.938,259.625
left,2,961,25.437,-73.938,257.875
left,2,971,14.250,-86.313,256.562
left,2,981,-4.625,-91.313,253.500
left,2,991,-20.812,-84.563,249.750
left,3,1,1.500,0.562,-5.375
left,3,11,2.188,0.375,-5.312
left,3,21,2.688,0.000,-4.437
left,3,31,2.500,-0.437,-3.938
left,3,41,1.750,-0.250,-4.062
left,3,51,0.875,0.312,-4.437
left,3,61,0.562,0.375,-4.625
left,3,71,0.375,-0.062,-4.500
left,3,81,0.312,-0.062,-4.000
left,3,91,0.250,0.500,-3.000
left,3,101,0.125,1.625,-1.812
left,3,111,0.250,2.438,-1.875
left,3,121,1.000,2.875,-2.938
left,3,131,2.500,2.438,-4.312
left,3,141,3.500,1.750,-4.687
left,3,151,4.000,1.562,-4.750
left,3,161,4.312,3.125,-5.812
left,3,171,5.250,5.125,-8.063
left,3,181,8.125,6.500,-11.688
left,3,191,11.188,6.250,-15.125
left,3,201,14.375,6.250,-20.000
left,3,211,18.750,9.125,-28.375
left,3,221,22.750,13.813,-35.625
left,3,231,26.750,19.687,-43.250
left,3,241,30.062,28.000,-54.125
left,3,251,29.000,35.438,-62.938
