gesture,rep,t_ms,gx,gy,gz
up,2,421,92.438,-55.875,-13.188
up,2,431,125.625,-67.813,-27.125
up,2,441,151.250,-67.938,-46.938
up,2,451,162.437,-58.500,-60.500
up,2,461,159.187,-45.063,-68.188
up,2,471,155.812,-23.875,-72.375
up,2,481,152.812,-0.812,-78.000
up,2,491,139.437,28.625,-88.125
up,2,501,108.875,70.188,-103.125
up,2,511,87.875,103.250,-114.500
up,2,521,78.438,131.375,-122.500
up,2,531,81.875,154.687,-117.563
up,2,541,93.313,163.750,-108.938
up,2,551,111.438,167.187,-109.938
up,2,561,139.437,172.875,-120.500
up,2,571,158.875,184.125,-125.563
up,2,581,172.500,201.312,-117.375
up,2,591,173.875,210.437,-103.625
up,2,601,168.375,217.187,-96.750
up,2,611,153.625,228.875,-100.938
up,2,621,136.812,236.750,-104.625
up,2,631,114.688,229.187,-107.438
up,2,641,82.625,194.437,-120.875
up,2,651,62.563,175.125,-130.500
up,2,661,51.750,186.000,-113.313
up,2,671,35.563,205.375,-71.313
up,2,681,19.875,189.250,-47.125
up,2,691,9.250,127.375,-31.062
up,2,701,-0.187,69.875,-21.375
up,2,711,-15.563,26.500,-9.500
up,2,721,-48.438,-4.375,8.563
up,2,731,-73.500,-21.750,22.125
up,2,741,-85.563,-37.000,29.562
up,2,751,-78.813,-54.563,30.500
up,2,761,-61.250,-62.500,31.562
up,2,771,-42.438,-60.438,34.750
up,2,781,-26.312,-52.000,38.063
up,2,791,-19.250,-48.688,39.188
up,2,801,-16.375,-49.063,40.188
up,2,811,-15.500,-50.250,42.000
up,2,821,-14.438,-51.250,44.063
up,2,831,-15.688,-56.375,48.125
up,2,841,-22.812,-64.063,54.000
up,2,851,-35.125,-71.563,64.000
up,2,861,-52.000,-78.188,79.438
up,2,871,-59.813,-83.313,88.000
up,2,881,-59.500,-88.500,90.813
up,2,891,-52.813,-92.938,91.750
up,2,901,-48.813,-94.188,94.563
up,2,911,-48.625,-94.188,98.563
up,2,921,-54.063,-93.438,102.500
up,2,931,-62.500,-93.625,104.125
