gesture,rep,t_ms,gx,gy,gz
right,2,411,32.000,-175.687,327.250
right,2,421,45.375,-143.375,340.562
right,2,431,53.875,-117.875,347.562
right,2,441,48.625,-106.250,349.312
right,2,451,26.625,-107.688,339.562
right,2,461,8.438,-111.438,318.562
right,2,471,-4.875,-113.938,276.000
right,2,481,-8.000,-118.625,233.500
right,2,491,-8.563,-130.500,187.375
right,2,501,-16.250,-159.500,131.375
right,2,511,-29.812,-190.375,93.000
right,2,521,-44.563,-216.937,61.188
right,2,531,-52.563,-229.000,33.563
right,2,541,-52.125,-219.687,24.937
right,2,551,-53.063,-197.562,27.812
right,2,561,-57.125,-157.437,38.938
right,2,571,-58.250,-121.813,46.063
right,2,581,-55.563,-83.250,47.750
right,2,591,-44.938,-59.875,41.938
right,2,601,-30.125,-40.688,30.687
right,2,611,-9.125,-19.750,13.313
right,2,621,6.125,-5.187,-0.750
right,2,631,19.875,7.125,-13.813
right,2,641,33.688,19.312,-27.437
right,2,651,39.875,29.687,-35.875
right,2,661,42.875,45.188,-42.688
right,2,671,45.750,73.625,-49.375
right,2,681,45.125,94.688,-55.000
right,2,691,42.688,109.313,-59.188
right,2,701,45.188,125.438,-58.750
right,2,711,49.875,137.062,-58.438
right,2,721,52.000,143.687,-63.063
right,2,731,52.438,141.500,-68.563
right,2,741,54.313,134.750,-76.750
right,2,751,58.188,122.250,-94.563
right,2,761,61.750,109.500,-112.750
right,2,771,64.625,93.563,-131.687
right,2,781,63.750,69.563,-154.937
right,2,791,58.813,50.750,-172.875
right,2,801,52.063,35.500,-188.937
right,2,811,44.750,23.062,-203.500
right,2,821,42.438,18.500,-210.250
right,2,831,44.688,14.813,-212.125
right,2,841,49.813,7.312,-209.437
right,2,851,52.250,-6.437,-204.937
right,2,861,51.313,-26.687,-199.125
right,2,871,49.063,-35.625,-199.062
right,2,881,47.813,-33.938,-207.500
right,2,891,43.063,-27.375,-228.437
right,2,901,25.812,-31.625,-244.812
right,2,911,-5.812,-43.625,-253.062
right,2,921,-47.500,-49.063,-248.562
right,2,931,-62.375,-33.813,-236.187
right,2,941,-54.000,-4.937,-221.125
right,2,951,-30.062,29.000,-207.250
right,2,961,-26.250,40.875,-204.312
right,2,971,-55.875,39.000,-205.625
right,2,981,-91.500,38.875,-203.250
right,2,991,-115.000,49.625,-192.937
right,3,1,-2.375,4.000,0.812
right,3,11,-0.687,7.625,0.937
right,3,21,0.187,10.625,0.500
right,3,31,0.187,12.813,0.062
right,3,41,-0.625,14.438,-0.062
right,3,51,-2.063,15.125,0.125
right,3,61,-5.937,15.563,-0.437
right,3,71,-18.687,14.563,-4.687
right,3,81,-38.938,10.375,-13.125
right,3,91,-68.563,4.000,-27.000
right,3,101,-110.188,-1.937,-49.625
right,3,111,-132.125,-0.812,-63.375
right,3,121,-115.625,9.313,-64.125
right,3,131,-97.438,24.500,-55.438
right,3,141,-54.188,44.438,-46.438
right,3,151,-0.750,77.688,-41.750
right,3,161,32.500,110.563,-43.063
right,3,171,49.313,138.625,-45.438
right,3,181,42.625,151.062,-43.688
right,3,191,24.375,140.562,-37.375
right,3,201,9.625,117.500,-29.625
right,3,211,11.250,81.938,-22.375
right,3,221,29.500,49.375,-14.938
right,3,231,51.500,4.250,4.937
right,3,241,70.750,-70.000,27.187
right,3,251,79.875,-122.000,54.000
right,3,261,92.375,-155.437,90.563
right,3,271,104.875,-161.437,115.938
right,3,281,111.188,-149.687,138.687
right,3,291,96.875,-119.188,170.187
right,3,301,63.063,-99.813,197.437
right,3,311,22.250,-95.625,221.500
right,3,321,-12.000,-117.000,237.625
right,3,331,-14.188,-148.125,235.125
right,3,341,4.562,-174.625,229.812
right,3,351,29.875,-192.687,232.875
right,3,361,32.563,-202.687,242.437
right,3,371,13.500,-216.125,257.125
right,3,381,-10.688,-226.312,264.375
right,3,391,-32.438,-235.375,262.562
right,3,401,-51.125,-248.187,252.312
right,3,411,-58.000,-257.375,243.187
right,3,421,-50.438,-257.250,234.687
right,3,431,-18.375,-239.500,226.437
right,3,441,12.500,-219.187,220.312
right,3,451,31.875,-202.937,209.437
right,3,461,29.312,-195.312,183.812
right,3,471,12.438,-196.500,156.687
right,3,481,-6.500,-196.562,124.625
right,3,491,-20.562,-186.437,106.938
right,3,501,-19.750,-167.625,96.938
right,3,511,-7.062,-135.625,88.250
